Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Buprenorphine and Naloxone,43598-580-30,"4 mg/1,                         1  mg/1","FILM, SOLUBLE",BUCCAL; SUBLINGUAL,ANDA205806,Dr.Reddys Laboratories Inc,43598-580,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE,HUMAN PRESCRIPTION DRUG,06/14/2018,N/A,ANDA,"30 POUCH in 1 CARTON (43598-580-30)  / 1 FILM, SOLUBLE in 1 POUCH (43598-580-01)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,0378-8766-93,"4 mg/1,                         1  mg/1",FILM,BUCCAL; SUBLINGUAL,ANDA211785,Mylan Pharmaceuticals Inc.,0378-8766,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,04/17/2020,N/A,ANDA,30 POUCH in 1 CARTON (0378-8766-93)  / 1 FILM in 1 POUCH (0378-8766-16),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,47781-356-03,"4 mg/1,                         1  mg/1",FILM,BUCCAL; SUBLINGUAL,ANDA205954,Alvogen Inc.,47781-356,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,02/11/2019,N/A,ANDA,30 POUCH in 1 CARTON (47781-356-03)  / 1 FILM in 1 POUCH (47781-356-11),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Suboxone,12496-1204-3,"4 mg/1,                         1  mg/1","FILM, SOLUBLE",BUCCAL; SUBLINGUAL,NDA022410,INDIVIOR INC.,12496-1204,"buprenorphine hydrochloride, naloxone hydrochloride",BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/24/2012,N/A,NDA,"30 POUCH in 1 CARTON (12496-1204-3)  / 1 FILM, SOLUBLE in 1 POUCH (12496-1204-1)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BELBUCA,59385-024-60,450 ug/1,"FILM, SOLUBLE",BUCCAL,NDA207932,BioDelivery Sciences International Inc,59385-024,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/21/2017,N/A,NDA,"60 POUCH in 1 CARTON (59385-024-60)  / 1 FILM, SOLUBLE in 1 POUCH (59385-024-01)","Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,42858-750-40,5 ug/h,PATCH,TRANSDERMAL,NDA021306,Rhodes Pharmaceuticals L.P.,42858-750,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,07/05/2017,N/A,NDA AUTHORIZED GENERIC,4 POUCH in 1 CARTON (42858-750-40)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,69238-1202-2,5 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA211586,Amneal Pharmaceuticals NY LLC,69238-1202,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,04/20/2020,N/A,ANDA,4 POUCH in 1 CARTON (69238-1202-2)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,0093-3656-40,5 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA204937,"Teva Pharmaceuticals USA, Inc.",0093-3656,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,11/26/2018,N/A,ANDA,4 POUCH in 1 CARTON (0093-3656-40)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
buprenorphine transdermal system,47781-406-04,5 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA207490,Alvogen Inc.,47781-406,buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,08/29/2022,N/A,ANDA,4 POUCH in 1 CARTON (47781-406-04)  / 1 PATCH in 1 POUCH (47781-406-11)  / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Butrans,59011-750-04,5 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,NDA021306,Purdue Pharma LP,59011-750,buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,02/14/2011,N/A,NDA,4 POUCH in 1 CARTON (59011-750-04)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Zubsolv,54123-957-30,"5.7 mg/1,                         1.4  mg/1","TABLET, ORALLY DISINTEGRATING",SUBLINGUAL,NDA204242,"Orexo US, Inc.",54123-957,buprenorphine hydrochloride and naloxone hydrochloride,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,07/04/2013,N/A,NDA,"3 BLISTER PACK in 1 CARTON (54123-957-30)  / 10 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BELBUCA,59385-025-60,600 ug/1,"FILM, SOLUBLE",BUCCAL,NDA207932,BioDelivery Sciences International Inc,59385-025,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/24/2017,N/A,NDA,"60 POUCH in 1 CARTON (59385-025-60)  / 1 FILM, SOLUBLE in 1 POUCH (59385-025-01)","Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,42858-353-40,7.5 ug/h,PATCH,TRANSDERMAL,NDA021306,Rhodes Pharmaceuticals L.P.,42858-353,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,07/05/2017,N/A,NDA AUTHORIZED GENERIC,4 POUCH in 1 CARTON (42858-353-40)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,0093-3239-40,7.5 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA204937,"Teva Pharmaceuticals USA, Inc.",0093-3239,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,12/27/2021,N/A,ANDA,4 POUCH in 1 CARTON (0093-3239-40)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,69238-1505-2,7.5 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA211586,Amneal Pharmaceuticals NY LLC,69238-1505,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,04/20/2020,N/A,ANDA,4 POUCH in 1 CARTON (69238-1505-2)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Butrans,59011-757-04,7.5 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,NDA021306,Purdue Pharma LP,59011-757,buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,02/14/2011,N/A,NDA,4 POUCH in 1 CARTON (59011-757-04)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BELBUCA,59385-021-60,75 ug/1,"FILM, SOLUBLE",BUCCAL,NDA207932,BioDelivery Sciences International Inc,59385-021,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/01/2017,N/A,NDA,"60 POUCH in 1 CARTON (59385-021-60)  / 1 FILM, SOLUBLE in 1 POUCH (59385-021-01)","Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BELBUCA,59385-026-60,750 ug/1,"FILM, SOLUBLE",BUCCAL,NDA207932,BioDelivery Sciences International Inc,59385-026,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/01/2017,N/A,NDA,"60 POUCH in 1 CARTON (59385-026-60)  / 1 FILM, SOLUBLE in 1 POUCH (59385-026-01)","Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,62756-460-83,8 mg/1,TABLET,SUBLINGUAL,ANDA201760,"Sun Pharmaceutical Industries, Inc.",62756-460,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/17/2016,N/A,ANDA,30 TABLET in 1 BOTTLE (62756-460-83),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,0228-3153-03,8 mg/1,TABLET,SUBLINGUAL,ANDA090819,"Actavis Pharma, Inc.",0228-3153,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/10/2015,N/A,ANDA,30 TABLET in 1 BOTTLE (0228-3153-03),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE,71335-1154-0,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-1154,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/16/2022,N/A,ANDA,120 TABLET in 1 BOTTLE (71335-1154-0),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE,71335-1154-1,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-1154,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,03/15/2019,N/A,ANDA,90 TABLET in 1 BOTTLE (71335-1154-1),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE,71335-1154-2,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-1154,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,03/15/2019,N/A,ANDA,60 TABLET in 1 BOTTLE (71335-1154-2),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE,71335-1154-3,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-1154,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,07/22/2019,N/A,ANDA,30 TABLET in 1 BOTTLE (71335-1154-3),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE,71335-1154-4,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-1154,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/16/2022,N/A,ANDA,20 TABLET in 1 BOTTLE (71335-1154-4),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE,71335-1154-5,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-1154,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/16/2020,N/A,ANDA,7 TABLET in 1 BOTTLE (71335-1154-5),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE,71335-1154-6,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-1154,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/28/2021,N/A,ANDA,28 TABLET in 1 BOTTLE (71335-1154-6),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE,71335-1154-7,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-1154,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/16/2022,N/A,ANDA,1 TABLET in 1 BOTTLE (71335-1154-7),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE,71335-1154-8,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-1154,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/16/2022,N/A,ANDA,12 TABLET in 1 BOTTLE (71335-1154-8),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE,71335-1154-9,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-1154,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/16/2022,N/A,ANDA,14 TABLET in 1 BOTTLE (71335-1154-9),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,62756-460-64,8 mg/1,TABLET,SUBLINGUAL,ANDA201760,"Sun Pharmaceutical Industries, Inc.",62756-460,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/17/2016,N/A,ANDA,3 BLISTER PACK in 1 CARTON (62756-460-64)  / 10 TABLET in 1 BLISTER PACK,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE,58118-0502-8,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,"Clinical Solutions Wholesale, LLC",58118-0502,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/07/2022,N/A,ANDA,30 TABLET in 1 BLISTER PACK (58118-0502-8),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,60687-492-21,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,American Health Packaging,60687-492,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/06/2020,N/A,ANDA,"30 BLISTER PACK in 1 BOX, UNIT-DOSE (60687-492-21)  / 1 TABLET in 1 BLISTER PACK (60687-492-11)","Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BUPRENORPHINE,42858-502-03,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,Rhodes Pharmaceuticals L.P.,42858-502,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/25/2017,N/A,ANDA,30 TABLET in 1 BOTTLE (42858-502-03),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine HCl,70518-2014-0,8 mg/1,TABLET,SUBLINGUAL,ANDA078633,REMEDYREPACK INC.,70518-2014,Buprenorphine HCl,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/12/2019,N/A,ANDA,30 TABLET in 1 BLISTER PACK (70518-2014-0),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine HCl,70518-2014-1,8 mg/1,TABLET,SUBLINGUAL,ANDA078633,REMEDYREPACK INC.,70518-2014,Buprenorphine HCl,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/01/2021,N/A,ANDA,"60 TABLET in 1 BOTTLE, PLASTIC (70518-2014-1)","Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine HCl,68071-2915-3,8 mg/1,TABLET,SUBLINGUAL,ANDA078633,"NuCare Pharmaceuticals,Inc.",68071-2915,Buprenorphine HCl,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/17/2023,N/A,ANDA,30 TABLET in 1 BOTTLE (68071-2915-3),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2024
Buprenorphine HCl,0054-0177-13,8 mg/1,TABLET,SUBLINGUAL,ANDA078633,Hikma Pharmaceuticals USA Inc.,0054-0177,Buprenorphine HCl,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/08/2009,N/A,ANDA,30 TABLET in 1 BOTTLE (0054-0177-13),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine HCl,71335-1163-0,8 mg/1,TABLET,SUBLINGUAL,ANDA078633,Bryant Ranch Prepack,71335-1163,Buprenorphine HCl,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/16/2022,N/A,ANDA,120 TABLET in 1 BOTTLE (71335-1163-0),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine HCl,0904-7155-04,8 mg/1,TABLET,SUBLINGUAL,ANDA078633,Major Pharmaceuticals,0904-7155,Buprenorphine HCl,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/08/2009,N/A,ANDA,30 BLISTER PACK in 1 CARTON (0904-7155-04)  / 1 TABLET in 1 BLISTER PACK,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine HCl,58118-0177-8,8 mg/1,TABLET,SUBLINGUAL,ANDA078633,"Clinical Solutions Wholesale, LLC",58118-0177,Buprenorphine HCl,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/15/2018,N/A,ANDA,30 TABLET in 1 BLISTER PACK (58118-0177-8),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine HCl,71335-1163-1,8 mg/1,TABLET,SUBLINGUAL,ANDA078633,Bryant Ranch Prepack,71335-1163,Buprenorphine HCl,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,03/21/2019,N/A,ANDA,90 TABLET in 1 BOTTLE (71335-1163-1),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine HCl,71335-1163-2,8 mg/1,TABLET,SUBLINGUAL,ANDA078633,Bryant Ranch Prepack,71335-1163,Buprenorphine HCl,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/24/2019,N/A,ANDA,60 TABLET in 1 BOTTLE (71335-1163-2),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine HCl,71335-1163-3,8 mg/1,TABLET,SUBLINGUAL,ANDA078633,Bryant Ranch Prepack,71335-1163,Buprenorphine HCl,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/01/2019,N/A,ANDA,30 TABLET in 1 BOTTLE (71335-1163-3),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine HCl,71335-1163-4,8 mg/1,TABLET,SUBLINGUAL,ANDA078633,Bryant Ranch Prepack,71335-1163,Buprenorphine HCl,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/16/2022,N/A,ANDA,20 TABLET in 1 BOTTLE (71335-1163-4),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine HCl,71335-1163-5,8 mg/1,TABLET,SUBLINGUAL,ANDA078633,Bryant Ranch Prepack,71335-1163,Buprenorphine HCl,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/16/2022,N/A,ANDA,7 TABLET in 1 BOTTLE (71335-1163-5),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine HCl,71335-1163-6,8 mg/1,TABLET,SUBLINGUAL,ANDA078633,Bryant Ranch Prepack,71335-1163,Buprenorphine HCl,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/16/2022,N/A,ANDA,28 TABLET in 1 BOTTLE (71335-1163-6),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine HCl,71335-1163-7,8 mg/1,TABLET,SUBLINGUAL,ANDA078633,Bryant Ranch Prepack,71335-1163,Buprenorphine HCl,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/16/2022,N/A,ANDA,1 TABLET in 1 BOTTLE (71335-1163-7),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine HCl,71335-1163-8,8 mg/1,TABLET,SUBLINGUAL,ANDA078633,Bryant Ranch Prepack,71335-1163,Buprenorphine HCl,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/16/2022,N/A,ANDA,12 TABLET in 1 BOTTLE (71335-1163-8),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine HCl,71335-1163-9,8 mg/1,TABLET,SUBLINGUAL,ANDA078633,Bryant Ranch Prepack,71335-1163,Buprenorphine HCl,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/16/2022,N/A,ANDA,14 TABLET in 1 BOTTLE (71335-1163-9),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
buprenorphine hydrochloride,50383-930-93,8 mg/1,TABLET,SUBLINGUAL,ANDA090622,Akorn Operating Company LLC (dba Akorn),50383-930,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/24/2010,N/A,ANDA,30 TABLET in 1 BOTTLE (50383-930-93),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,0228-3155-03,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA091422,"Actavis Pharma, Inc.",0228-3155,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,03/04/2013,N/A,ANDA,30 TABLET in 1 BOTTLE (0228-3155-03),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,70518-3389-0,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA205601,REMEDYREPACK INC.,70518-3389,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,03/16/2022,N/A,ANDA,30 TABLET in 1 BLISTER PACK (70518-3389-0),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2024
Buprenorphine and Naloxone,42858-602-03,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA205601,Rhodes Pharmaceuticals L.P.,42858-602,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,04/13/2020,N/A,ANDA,"30 TABLET in 1 BOTTLE, PLASTIC (42858-602-03)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,62756-970-64,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA201633,"Sun Pharmaceutical Industries, Inc.",62756-970,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,07/18/2017,N/A,ANDA,3 BLISTER PACK in 1 CARTON (62756-970-64)  / 10 TABLET in 1 BLISTER PACK,"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,47781-357-03,"8 mg/1,                         2  mg/1",FILM,BUCCAL; SUBLINGUAL,ANDA205954,Alvogen Inc.,47781-357,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,02/11/2019,N/A,ANDA,30 POUCH in 1 CARTON (47781-357-03)  / 1 FILM in 1 POUCH (47781-357-11),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,71335-1378-0,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA205022,Bryant Ranch Prepack,71335-1378,Buprenorphine and Naloxone,BUPRENORPHINE;  NALOXONE,HUMAN PRESCRIPTION DRUG,06/30/2022,N/A,ANDA,42 TABLET in 1 BOTTLE (71335-1378-0),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,71335-1378-1,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA205022,Bryant Ranch Prepack,71335-1378,Buprenorphine and Naloxone,BUPRENORPHINE;  NALOXONE,HUMAN PRESCRIPTION DRUG,10/25/2019,N/A,ANDA,30 TABLET in 1 BOTTLE (71335-1378-1),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,71335-1378-2,"8 mg/1,                         2  mg/1",TABLET,SUBLINGUAL,ANDA205022,Bryant Ranch Prepack,71335-1378,Buprenorphine and Naloxone,BUPRENORPHINE;  NALOXONE,HUMAN PRESCRIPTION DRUG,06/30/2022,N/A,ANDA,60 TABLET in 1 BOTTLE (71335-1378-2),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
